gene_name	type	organism
WDR31	refseq	orycun2
RNF183	refseq	orycun2
PRPF4	refseq	orycun2
CDC26	refseq	orycun2
SLC31A1	refseq	orycun2
FKBP15	refseq	orycun2
DNAJC25-GNG10	other	hg19
SLC31A2	refseq	orycun2
ZFP37	refseq	orycun2
LOC481674	other	
LOC100034197	other	
LOC493739	other	
MUP21	other	mm9
LOC259245	other	
RGD1566134	other	
LOC259244	other	
LOC259246	other	
OBP3	other	
LOC298111	other	
LOC298116	other	
MUP17	other	mm9
MUP5	other	
MUP4	other	
MUP13	other	mm9
SAL1	other	
MUP20	other	mm9
MUP4	other	mm9
CYP2A11	refseq	orycun2
ZNF229	other	hg19
SLC46A2	refseq	orycun2
SNX30	refseq	orycun2
ZNF736	other	hg19
INIP	refseq	orycun2
E130308A19RIK	other	mm9
KIAA1958	refseq	orycun2
HSDL2	refseq	orycun2
LOC103345671	refseq	orycun2
PTBP3	refseq	orycun2
SUSD1	refseq	orycun2
RPL3801	other	
UGCG	refseq	orycun2
C1H9orf84	refseq	orycun2
SHOC1	other	
SHOC1	other	hg19
GNG10	refseq	orycun2
DNAJC25	refseq	orycun2
LOC100346767	refseq	orycun2
PTGR1	refseq	orycun2
LOC100352119	refseq	orycun2
ZNF483	refseq	orycun2
LOC108177706	refseq	orycun2
KIAA0368	refseq	orycun2
OR2K2	other	hg19
LOC100353230	refseq	orycun2
LPAR1	refseq	orycun2
RPL23AP64	other	hg19
LOC541695	other	
LOC100280771	other	
LOC100283914	other	
LOC103863178	other	
LOC100778548	other	
LOC100500043	other	
RPL23AB	other	
NEUROG2-AS1	other	hg19
MUSK	refseq	orycun2
SVEP1	refseq	orycun2
LOC106109001	other	
TXNDC8	refseq	orycun2
TXN	refseq	orycun2
LOC108177932	refseq	orycun2
C1H9orf152	refseq	orycun2
AKAP2	refseq	orycun2
PALM2AKAP2	other	
PALM2AKAP2	other	hg19
PAKAP	other	
PAKAP	other	mm9
PALM2.L	other	
PALM2	refseq	orycun2
PALM2AKAP2.S	other	
LOC103348042	refseq	orycun2
PTPN3	refseq	orycun2
BLOC1S5.L	other	
EPB41L4B	refseq	orycun2
FRRS1L	refseq	orycun2
TMEM245	refseq	orycun2
MIR32	other	
MIR32	other	hg19
MIR32	other	mm9
CTNNAL1	refseq	orycun2
FAM206A	refseq	orycun2
IKBKAP	refseq	orycun2
ACTL7A	refseq	orycun2
ACTL7B	refseq	orycun2
LOC103348232	refseq	orycun2
DERPC	other	
DERPC	other	hg19
KLF4	refseq	orycun2
RAD23B	refseq	orycun2
LOC103348288	refseq	orycun2
LOC103347974	refseq	orycun2
ZNF462	other	hg19
ZFP462	other	mm9
LOC108178114	refseq	orycun2
LOC100357282	refseq	orycun2
LOC340512	other	hg19
MUC12-AS1	other	hg19
LINC01505	other	hg19
MIR8081	other	hg19
TMEM38B	refseq	orycun2
TAL2	refseq	orycun2
FKTN	refseq	orycun2
FSD1L	refseq	orycun2
SLC44A1	refseq	orycun2
LOC100166100	other	
DCJ15	other	
ABCA1	refseq	orycun2
NIPSNAP3B	other	hg19
NIPSNAP3A	refseq	orycun2
LOC100357539	refseq	orycun2
OR13C9	other	hg19
OR13C2	other	hg19
OR13C5	other	hg19
OLR852	other	
LOC100358056	refseq	orycun2
LOC100358573	refseq	orycun2
OR13C4	other	hg19
LOC100337945	refseq	orycun2
MHF15.12; MHF15_12	other	
LOC100801671	other	
IP259	other	
LOC100812311	other	
W09C5.1	other	
TINP1	other	
LOC100338705	refseq	orycun2
SMC2	refseq	orycun2
USP5.S	other	
USP5.L	other	
UBP5	other	
LOC100383086	other	
TSN.L	other	
TRSN	other	
LOC692980	other	
LOC103348001	refseq	orycun2
CYLC2	refseq	orycun2
LOC100159430	other	
ZNF337-AS1	other	hg19
LOC100335030	other	hg19
TOMM22.L	other	
GM13315	other	mm9
GRIN3A	refseq	orycun2
PPP3R2	refseq	orycun2
RNF20	refseq	orycun2
LOC103348915	refseq	orycun2
TMEM246	refseq	orycun2
TMEM246-AS1	other	hg19
PGAP4	other	hg19
PGAP4	other	
ELL2.S	other	
ELL.S	other	
ELL	other	
ELL	other	mm9
ELL	other	hg19
ALDOB	refseq	orycun2
ZNF189	refseq	orycun2
MRPL50	refseq	orycun2
LOC100348617	refseq	orycun2
BAAT	other	hg19
LOC100350133	refseq	orycun2
LOC108178473	refseq	orycun2
LOC100350872	refseq	orycun2
PLPPR1	refseq	orycun2
LOC100340199	refseq	orycun2
RNF14.5.L	other	
RPSAP9	other	hg19
LOC100343268	refseq	orycun2
CAVIN4	other	
CAVIN4	other	hg19
MURC	refseq	orycun2
TMEFF1	refseq	orycun2
MSANTD3	refseq	orycun2
TEX10	refseq	orycun2
INVS	refseq	orycun2
INVS.L	other	
INVS.S	other	
LOC578034	other	
RPL2102	other	
RPL21B	other	
RPL21A	other	
LOC100305629	other	
F12K22.19	other	
F21M12.8; F21M12_8	other	
LOC100192783	other	
F14J9.25	other	
LOC100500046	other	
LOC100281780	other	
T8L23.13; T8L23_13	other	
LOC100194057	other	
LOC100192855	other	
ERP44	refseq	orycun2
ERP44.L	other	
