"gene_name"	"tot_umis"
"0610009B22RIK;LOC106116611;SEDL-1;TRAPPC2.S;TRAPPC2B;TRS20"	5430
"0610039H22RIK"	0
"1110020A21RIK"	5
"1110025L11RIK;GM10228;GM10229;GM34650;GM9789;KRTAP16-3;KRTAP16-5;KRTAP19-1;KRTAP19-2;KRTAP19-3;KRTAP19-4;KRTAP19-5;KRTAP19-6;KRTAP19-7;KRTAP19-8;KRTAP19-9B;KRTAP20-1;KRTAP20-2;KRTAP20-3;KRTAP21-1;KRTAP22-1;KRTAP22-2;KRTAP6-2;KRTAP6-3;KRTAP6-5;LOC100861168;LOC647264"	0
"1110038F14RIK"	0
"1110051M20RIK"	0
"1500009L16RIK;C12ORF75;C5H12ORF75;LOC100910996"	2276
"1600025M17RIK;ETDC;SMIM10L2B-AS1"	110
"1600027J07RIK"	0
"1600029O15RIK;AA413626;AGOS_AEL137W;ECU07_1410;F17L21.19; F17L21_19;LOC100167382;LOC100194089;LOC100272465;LOC100280639;LOC100305777;LOC100306009;LOC100499784;LOC101867070;LOC102577682;LOC105420970;LOC106111636;LOC106119529;LOC112288138;LOC112291162;LOC541667;RGD1359290;RL17;RPL-17;RPL17;RPL17-PS10;RPL17.S;RPL1701;RPL1702;RPL17A;RPL17B;T1F15.11; T1F15_11;Y48G8AL.7"	99523
"16R;34G;GF14A;GF14C;GRF1;GRF13;GRF3;GRF5;GRF6;GRF7;GRF8;GRF9;LOC100279512;LOC101247195;LOC101500358;LOC101865451;LOC102580127;LOC102580656;LOC103442508;LOC103634358;LOC105048516;LOC106352652;LOC106353440;LOC106384897;LOC107765116;LOC107767929;LOC107769456;LOC107774394;LOC107777576;LOC107786214;LOC107787833;LOC107793853;LOC107794654;LOC107801900;LOC107813146;LOC107817195;LOC107818314;LOC107828339;LOC107829791;LOC107894081;LOC107905057;LOC107905378;LOC107934138;LOC107952815;LOC107953447;LOC109939850;LOC542291;LOC543565;RA215;SGF14G;SGF14I;SGF14K;SGF14L;SGF14M;SGF14N;TFT1;TFT10;TFT3;TFT4;TFT6;TFT7;TFT9;YWHAB.S;YWHAE2;YWHAEP1;YWHAQ.S;YWHAQA;YWHAQB"	31541
"1700001L19RIK;C5ORF49"	0
"1700003L19RIK"	0
"1700003M07RIK"	0
"1700011C11RIK"	0
"1700012C14RIK"	9
"1700013H16RIK"	0
"1700016K05RIK"	0
"1700017N19RIK"	0
"1700018B24RIK;E(R);ERH.L;ERH.S;LOC105015908;RGD1307595"	91
"1700019A02RIK"	3
"1700019J19RIK"	0
"1700019P21RIK"	0
"1700020D05RIK;GM14781;GM44;LOC493792;LOC786836;MAGEA11;MAGEA4;MAGEA6;MAGEA8;MAGEB1;MAGEB2;MAGEB4;MAGEB5;MGC114483"	2
"1700021G15RIK"	0
"1700022H16RIK"	0
"1700025F24RIK"	0
"1700025O08RIK"	0
"1700030C14RIK"	0
"1700031L13RIK"	0
"1700039E22RIK"	2
"1700042G07RIK;P3R3URF;P3R3URF-PIK3R3"	0
"1700049L16RIK;AY358078;JPT2;JPT2.S;RGD1559903"	3005
"1700054A03RIK"	0
"1700054M17RIK"	0
"1700066C05RIK"	0
"1700067P10RIK"	2
"1700073E17RIK;1700084J12RIK;AGOS_AFL082W;AT3G13580;ECU02_0750I;F10A8.13; F10A8_13;F6E13.25;GM5766;LOC100166754;LOC100191368;LOC100280746;LOC100281870;LOC100281971;LOC100282330;LOC100305682;LOC100306107;LOC100306213;LOC100500005;LOC100500011;LOC100813342;LOC101251486;LOC102577601;LOC102577695;LOC102582959;LOC105205721;LOC105387235;LOC106108067;LOC106108907;LOC106117326;LOC106128423;LOC107984035;LOC112292635;LOC112293046;LOC367195;RLP7;RPL-7;RPL-7A;RPL7.L;RPL701;RPL702;RPL7A;RPL7A.S;RPL7B;RPL7L1.L;RPL8A;RPL8B"	125129
"1700085C21RIK"	0
"1700086O06RIK"	12
"1700101O22RIK"	0
"1700109K24RIK"	0
"1700123L14RIK;LOC500265"	2226
"1810007C17RIK"	0
"1810013L24RIK;C16ORF72;C20H16ORF72;RGD1309748"	39
"1810018F18RIK"	0
"1810019D21RIK"	0
"1810046K07RIK;C11ORF53"	0
"1810058I24RIK;C7ORF73"	176
"2-CP1;2-CP2;2-CYS PRX B;AGOS_AER312W;CG6888;ECU03_1190;F10A1;HIP;HIP-1;HIP-R;JAFRAC1;JAFRAC2;LOC100161272;LOC100217217;LOC100259748;LOC100282595;LOC100283738;LOC100786990;LOC105390197;LOC106116103;LOC106388616;LOC107432242;LOC107792347;LOC107814768;LOC733003;PER-LIKE;PRDX-2;PRDX-3;PRDX1.L;PRDX1.S;PRDX2;PRDX2.L;PRDX3.L;PRDX3.S;PRX3;ST13.L;ST13.S;ST13P4;ST13P5;T19F11.3;TDX;TPX-3;TPX1;TSA1;TSA2"	9191
