"gene_name"	"refseq"	"other"	"new_name"	"tot_umis"
"F1C9.13; F1C9_13;LOC100160340;LOC100190667;LOC112278888;LOC112291841;RPS-19;RPS19;RPS19-PS3;RPS19.S;RPS1901;RPS1902;RPS19B;RPS19L2"	""	"RPS-19_other;RPS19_mm9;RPS19-PS3_mm9;RPS19.S_other;RPS1901_other;RPS1902_other;RPS19B_other;RPS19L2_other"	"RPS19_mm9;RPS19-PS3_mm9"	893151
"AGOS_AAR134W;AT3G53430;ECU08_2010;LOC100198049;LOC100216970;LOC100281960;LOC100282351;LOC100284082;LOC100527860;LOC100811654;LOC102600463;LOC106102454;LOC106114040;LOC112286769;LOC114818275;MUP24.13; MUP24_13;RPL-12;RPL12.S;RPL1201;RPL1202;RPL12A;RPL12B;T2N18.5; T2N18_5"	""	"AGOS_AAR134W_other;AT3G53430_other;ECU08_2010_other;RPL-12_other;RPL12.S_other;RPL1201_other;RPL1202_other;RPL12A_other;RPL12B_other"	NA	556948
"AGOS_AFR688C;F19K6.12; F19K6_12;F9L1.46; F9L1_46;LOC100190109;LOC100284994;LOC100306503;LOC100533258;LOC101508900;LOC103157007;LOC105014087;LOC106105465;LOC106125125;LOC9267955;RL37;RPL3702;RPL3703;RPL37B;W01D2.1"	""	"AGOS_AFR688C_other;RL37_other;RPL3702_other;RPL3703_other;RPL37B_other;W01D2.1_other"	NA	520677
"AT5G27770;F18C1.17; F18C1_17;F22D16.17; F22D16_17;LNCRNA:CR42491;LOC100190148;LOC100283043;LOC100305544;LOC100305556;LOC100499714;LOC100499952;LOC100500073;LOC103189326;LOC103972407;LOC106106965;LOC106121441;RPL-22;RPL22A;RPL22B;RPL22L1.L"	""	"AT5G27770_other;LNCRNA:CR42491_other;RPL-22_other;RPL22A_other;RPL22B_other;RPL22L1.L_other"	NA	438253
"AT3G51190;EMB2296;F23E13.20;LOC100191681;LOC105388328;LOC106108043;LOC106117200;LOC107431740;LOC107816448;RL2;RPL-2;RPL2;RPL801;RPL802;RPL803"	""	"AT3G51190_other;EMB2296_other;F23E13.20_other;RL2_other;RPL-2_other;RPL2_other;RPL801_other;RPL802_other;RPL803_other"	NA	394971
"LOC106126891;RPL-11.1;RPL-11.2"	""	"RPL-11.1_other;RPL-11.2_other"	NA	387560
"AIFM2.S;MIR10390"	""	"AIFM2.S_other;MIR10390_other"	NA	342244
"AGOS_ACL184C;LOC100777391;LOC100788996;LOC103649148;LOC105391792;LOC106121891;LOC112280989;RPL-26"	""	"AGOS_ACL184C_other;RPL-26_other"	NA	337058
"AT4G34555;F16F14.14; F16F14_14;F2G1.15; F2G1_15;LOC100193720;LOC100280801;LOC100281626;LOC100283674;LOC100499810;LOC101261290;LOC106120341;LOC548053;RPS-25;RPS25-1;RPS25-2;T22F8.100; T22F8_100"	""	"AT4G34555_other;RPS-25_other;RPS25-1_other;RPS25-2_other"	NA	324310
"3000002C10RIK;4930448K20RIK;AGOS_AER031C;CG9010;ECU07_0800;GAPA-2;GAPB;GAPC1;GAPC2;GAPCP-1;GAPCP-2;GAPDH-PS1;GAPDH.L;GAPDH.S;GAPDH1;GAPDH2;GM10364;GM12070;GM5069;GM5177;GM5523;GM6498;GM6981;GM8709;GPD-1;GPD-2;GPD-3;GPD-4;GPD3;K10B3.12;K10B3.13;LOC100037774;LOC100135863;LOC100169122;LOC100191900;LOC100282981;LOC100781161;LOC100782924;LOC100804853;LOC100806482;LOC100807342;LOC100815649;LOC101213074;LOC101846659;LOC102592694;LOC103936989;LOC103949900;LOC103961743;LOC106105235;LOC106126706;LOC106382350;LOC106450737;LOC107418185;LOC107787153;LOC107845282;LOC107866774;LOC107924606;LOC107957019;LOC303448;LOC542290;LOC542333;LOC542367;LOC542368;LOC542718;LOC692786;LOC732571;LOC732655;MAI-1;TDH1;TDH2;TDH3"	""	"AGOS_AER031C_other;CG9010_other;ECU07_0800_other;GAPA-2_other;GAPB_other;GAPC1_other;GAPC2_other;GAPCP-1_other;GAPCP-2_other;GAPDH-PS1_other;GAPDH.L_other;GAPDH.S_other;GAPDH1_other;GAPDH2_other;GM10364_mm9;GM12070_mm9;GM5069_mm9;GM5177_mm9;GM5523_mm9;GM6498_mm9;GM6981_mm9;GM8709_mm9;GPD-1_other;GPD-2_other;GPD-3_other;GPD-4_other;GPD3_other;K10B3.12_other;K10B3.13_other;MAI-1_other;TDH1_other;TDH2_other;TDH3_other"	"GM10364_mm9;GM12070_mm9;GM5069_mm9;GM5177_mm9;GM5523_mm9;GM6498_mm9;GM6981_mm9;GM8709_mm9"	324129
"AGOS_AFR199C;ARCA1;ARCA2;ATARCA;CPC2;LOC100163081;LOC100197367;LOC100216946;LOC100280585;LOC100778205;LOC102606370;LOC105193280;LOC105394538;LOC106105148;LOC106126742;LOC107763849;LOC107862198;LOC547868;RACK-1;RACK1B_AT;RACK1C_AT"	""	"AGOS_AFR199C_other;ARCA1_other;ARCA2_other;ATARCA_other;CPC2_other;RACK-1_other;RACK1B_AT_other;RACK1C_AT_other"	NA	274857
"AGOS_ACR120C;AGOS_ADR095W;AT3G09500;AT3G55170;F10K1.22; F10K1_22;F12L6.5; F12L6_5;F1O17.6; F1O17_6;LOC100165466;LOC100168081;LOC100190127;LOC100214200;LOC100305671;LOC100305958;LOC100306624;LOC100800463;LOC102577759;LOC102589364;LOC104647572;LOC105014154;LOC105387239;LOC106111249;LOC106127491;LOC106127770;LOC778319;R35A;RPL-35;RPL33A;RPL33B;RPL35.L;RPL35A.S;RPL35AL1;RPL35B;T22P11.200; T22P11_200"	""	"AGOS_ACR120C_other;AGOS_ADR095W_other;AT3G09500_other;AT3G55170_other;R35A_other;RPL-35_other;RPL33A_other;RPL33B_other;RPL35.L_other;RPL35A.S_other;RPL35AL1_other;RPL35B_other"	NA	211979
"MALAT1;MASCRNA"	""	"MALAT1_mm9;MASCRNA_mm9"	"MALAT1_mm9;MASCRNA_mm9"	198870
"GM3787;LOC100170202;TMSB;TMSB1;TMSB5"	""	"GM3787_other;TMSB_other;TMSB1_other;TMSB5_other"	NA	196037
